f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg,f_category_new
Meat and offal/Beef,134,5.4,2.4,2.3,0.3,53,0.0,0,0,0,21.4,0.1,0,73.2,7,6,5,10,10,0.07,0.15,0.31,2.85,4.85,5.9,0.68,0,0.2,0.44,330,45.0,69,4.5,20,180,1.8,1.6,4.5,n.d.,meat
Prepared dishes/Other savoury dishes,85,2.8,0.4,1.9,0.4,31,3.0,1.5,n.d.,0.6,11.6,0.8,0,82.1,123,63,2,727,727,0.01,0.07,0.13,0.48,n.d.,5,0.35,0.9,0.2,0.7,130,300.0,470,9.9,8.9,91,0.8,2.2,2.2,n.d.,other
Meat and offal/Beef,190,7.1,3.3,2.8,0.6,98,0.0,0,n.d.,0,31.7,0.1,0,61.2,9,7,6,13,13,0.02,0.15,0.39,1.4,n.d.,6.5,0.62,0,0.6,0.33,280,48.0,90,5.9,19,200,2.8,5,7.6,n.d.,meat
Meat and offal/Beef,276,18.9,7.9,8.7,1.2,80,0.0,0,n.d.,0,26.6,0.1,0,54.5,8,7,6,11,11,0.02,0.16,0.32,1.27,5.3,5.9,0.67,0,0.5,0.3,230,41.0,82,5,16,160,1.8,4.5,5.3,n.d.,meat
Meat and offal/Beef,132,5.5,2.5,2.2,0.5,59,0.0,0,n.d.,0,20.7,0.1,0,71.2,7,6,5.0,10,10,0.04,0.13,0.55,1.4,n.d.,6,0.74,0,0.5,0.26,320,57.0,54,4.4,18,180,1.7,3,4.9,n.d.,meat
Meat and offal/Beef,227,16.6,7,7.6,1,53,0.0,0,n.d.,0,19.5,0.2,0,61.7,7,6,5.0,10,10,0.04,0.13,0.53,1.4,7,6,0.74,0,0.5,0.26,300,60.0,54,4.1,18,160,1.2,3,3.5,n.d.,meat
Meat and offal/Beef,254,15.6,6.7,7.4,0.6,100,0.0,0,0,0,28.3,0.1,0,56,8,7,6,13,13,0.06,0.24,0.11,4.6,3.91,3.3,0.53,0,0,0.53,230,36.0,88,5.3,18,210,3.6,0.5,8,n.d.,meat
Meat and offal/Beef,188,12.5,5.4,5.9,0.5,60,0.0,0,0,0,18.9,0.1,0,67.7,7,6,5.0,10,10,0.09,0.18,0.17,4.6,4.7,3,0.53,0,0.0001,0.43,270,48.0,53,4,18,190,2.2,0.3,4.8,n.d.,meat
Meat and offal/Beef,102,1.5,0.6,0.6,0.3,56,0.0,0,n.d.,0,22.2,0.1,0,74,7,6,5.0,10,10,0.08,0.13,0.26,1.18,5.03,6,0.74,0,0.5,0.26,360,44.0,50,4.2,20,190,1.4,3,3.5,7.6,meat
Meat and offal/Beef,162,4.6,2.2,2.3,0.4,63,0.0,0,0,0,30.2,0.1,0,65.2,5,4,4,8,8,0.03,0.12,0.45,1.34,5.48,7,0.76,0,0.4,0.68,290,49.0,74,6,23,210,1.7,4.1,4.7,12,meat
Meat and offal/Beef,133,4.5,2.2,2.2,0.4,46,0.0,0,0,0,23.2,0.1,0,71,7,6,5.0,10,10,0.05,0.1,0.73,1.4,5,6,0.69,0,0.5,0.9,360,42.0,54,4.9,20,180,1.3,3,3.4,9,meat
Meat and offal/Beef,106,1.8,0.8,0.8,0.3,52,0.0,0,n.d.,0,22.4,0.1,0,73.8,7,6,5.0,10,10,0.02,0.12,0.63,1.4,n.d.,6,0.72,0,0.5,0.9,380,39.0,54,5.1,20,190,1,3,2.8,8,meat
Meat and offal/Beef,128,2.0,0.9,0.9,0.1,47,0.0,0,0,0,27.7,0.1,0,70.4,6,5,4,9,9,0.08,0.15,0.13,2,4.91,11.3,1.07,0,0,0.18,330,48.0,73,3.6,25,190,2.9,0.1,5.9,n.d.,meat
