f_ID,f_name,f_category,f_energy_kcal,f_fat_g,f_fatty_acids_sat_g,f_fatty_acids_monounsat_g,f_fatty_acids_polyunsat_g,f_cholesterol_mg,f_carbohydrates_g,f_sugars_g,f_starch_g,f_fibres_g,f_protein_g,f_salt_g,f_alcohol_g,f_water_g,f_vit_A_activity_re_µg,f_vit_A_activity_rae_µg,f_retinol_µg,f_beta_carotene_activity_µg,f_beta_carotene_µg,f_vit_B1_mg,f_vit_B2_mg,f_vit_B6_mg,f_vit_B12_µg,f_niacin_mg,f_folate_µg,f_panthotenic_acid_mg,f_vit_c_mg,f_vit_d_µg,f_vit_e_activity_mg,f_potassium_mg,f_sodium_mg,f_chloride_mg,f_calcium_mg,f_magnesium_mg,f_phosphorus_mg,f_iron_mg,f_iodide_µg,f_zinc_mg,f_selenium_µg
1107,"Chop (average of veal, pork, lamb), raw","Meat and offal/Pork;Meat and offal/Veal;Meat and offal/Lamb, mutton",177,10.2,3.9,4.5,1.0,57.0,0.0,0.0,,0.0,21.3,0.1,0.0,68.5,3.0,3.0,3.0,1.0,1.0,0.73,0.16,0.68,0.9,,2.7,0.86,0.0,1.1,0.34,350.0,45.0,67.0,5.1,21.0,190.0,0.5,1.0,1.6,
867,Chräbeli (aniseed cookie),Sweets/Cookies/Biscuits,366,2.9,0.7,1.1,0.7,69.0,75.3,40.5,34.4,2.0,8.6,0.2,0.0,11.6,18.0,18.0,18.0,0.0,0.0,0.08,0.06,0.04,0.26,0.19,9.0,0.49,0.0,0.5,0.34,160.0,63.0,110.0,32.0,14.0,82.0,1.8,8.2,0.6,5.8
512,"Cider, 4 vol%",Alcoholic beverages/Wine,32,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,3.1,93.2,0.0,0.0,0.0,1.0,1.0,0.0001,0.0001,0.01,0.0,0.0001,0.0001,0.04,0.0001,0.0,0.0001,120.0,4.0,5.0,9.0,4.0,5.0,0.8,10.0,0.2,
513,"Cider, 6.2 vol%",Alcoholic beverages/Wine,64,0.0,0.0,0.0,0.0,0.0,7.3,7.3,0.0,0.0,0.0,0.0,5.0,86.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.01,0.1,0.01,1.0,0.03,0.0001,0.0,0.0001,97.0,2.0,5.0,5.0,4.0,9.0,0.3,10.0,0.2,
911,Cinnamon,"Various/Salt, spices and flavours",317,3.2,0.9,0.6,0.7,0.0,56.0,55.4,0.6,24.4,3.9,0.1,0.0,9.0,30.0,15.0,0.0,177.0,112.0,0.08,0.14,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,500.0,26.0,220.0,1230.0,56.0,61.0,38.0,5.0,2.0,3.1
876,"Cinnamon cookie, star-shaped",Sweets/Cookies/Biscuits,505,25.9,2.0,15.6,5.7,0.0,50.9,50.3,0.3,5.6,14.2,0.1,0.0,5.6,0.0,0.0,0.0,2.0,2.0,0.08,0.51,0.07,0.04,0.96,28.6,0.27,0.6,0.0,13.47,400.0,47.0,78.0,150.0,120.0,250.0,2.2,1.1,1.7,2.6
1126,"Citrus fruits (average), raw",Fruit/Fresh fruit,41,0.3,0.0,0.0,0.0,0.0,8.0,7.4,0.1,2.1,0.8,0.0,0.0,88.9,27.0,14.0,0.0,163.0,123.0,0.08,0.03,0.05,0.0,0.31,18.2,0.18,45.2,0.0,0.27,160.0,0.9,4.9,32.0,12.0,26.0,0.2,1.0,0.1,0.5
1683,"Cocktail sauce, with rapeseed mayonnaise, home-made",Various/Sauces,696,74.5,6.2,43.6,19.6,157.0,3.8,3.7,0.2,0.2,2.4,0.7,0.0,19.1,78.0,67.0,56.0,130.0,130.0,0.04,0.09,0.07,0.43,0.19,17.2,0.6,3.0,0.7,24.37,91.0,290.0,460.0,21.0,4.8,77.0,0.9,14.0,0.5,
888,Coco macaroon,Sweets/Cookies/Biscuits,567,41.4,39.1,1.9,0.3,0.0,37.1,36.0,0.0,9.4,6.9,0.2,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.06,0.06,0.39,14.0,0.04,0.0,0.0,0.0,480.0,98.0,260.0,8.3,66.0,120.0,1.8,5.3,0.9,6.6
581,Cocoa powder,Sweets/Chocolate and cocoa products;Non-alcoholic beverages/Cocoa beverages,419,24.5,14.4,8.2,0.8,0.0,10.8,2.2,8.6,32.7,22.5,0.0,0.0,5.1,7.0,3.0,0.0,40.0,40.0,0.13,0.4,0.14,0.0,2.7,38.0,1.1,0.0001,0.0,0.68,1920.0,17.0,32.0,110.0,410.0,660.0,13.0,2.8,5.7,
284,Coconut,"Nuts, seeds and oleaginous fruit",384,36.5,32.1,2.2,0.7,0.0,4.8,4.8,0.0,9.0,4.6,0.1,0.0,43.9,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.06,0.0,0.38,30.0,0.2,2.0,0.0,0.7,380.0,35.0,120.0,20.0,39.0,94.0,2.3,1.2,0.8,4.0
601,Coconut fat,Fats and oils/Fats,894,99.0,85.9,6.0,1.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,200.0,1.0,0.0,0.0001,0.0001,
13458,Coconut milk,"Nuts, seeds and oleaginous fruit",214,21.3,18.9,0.9,0.2,0.0,3.1,1.7,0.0,0.1,2.4,0.0,0.0,72.9,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.64,14.0,0.15,1.0,0.0,0.7,220.0,13.0,20.0,18.0,46.0,96.0,3.3,1.0,0.6,3.0
742,"Coconut, dried (coco flakes)","Nuts, seeds and oleaginous fruit",681,65.2,61.6,3.0,0.5,0.0,8.4,6.6,0.0,14.8,7.6,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.09,0.0,0.6,20.6,0.0,0.0,0.0,0.0,710.0,19.0,240.0,11.0,100.0,180.0,2.8,6.0,1.5,6.9
13350,"Cod, filet, steamed (without addition of fat and salt)",Fish/Sea fish,72,0.5,0.1,0.0,0.2,74.0,0.0,0.0,0.0,0.0,17.0,0.1,0.0,82.6,2.0,2.0,2.0,0.0,0.0,0.05,0.04,0.12,1.4,1.84,9.6,,0.0,2.0,0.88,380.0,56.0,,16.0,24.0,210.0,0.2,180.0,0.5,26.0
285,"Cod, raw",Fish/Sea fish,76,0.4,0.1,0.0,0.2,59.0,0.0,0.0,0.0,0.0,18.1,0.1,0.0,81.1,2.0,2.0,2.0,0.0,0.0,0.05,0.05,0.14,1.4,2.1,11.0,,0.0,1.8,0.7,410.0,53.0,,13.0,23.0,200.0,0.2,160.0,0.4,23.0
69,Coffee cream UHT,Fats and oils/Cream;Milk and dairy products/Cream and butter,161,15.0,9.0,3.5,0.7,50.0,3.8,3.8,0.0,0.0,2.6,0.2,0.0,77.5,151.0,145.0,138.0,80.0,80.0,0.02,0.14,0.02,0.5,0.1,2.7,0.4,1.0,0.3,0.34,140.0,77.0,70.0,96.0,8.2,91.0,0.0,11.0,0.3,
1188,"Coffee with coffee cream, no sugar added",Non-alcoholic beverages/Coffee,13,1.1,0.7,0.3,0.1,4.0,0.5,0.3,0.0,0.1,0.3,0.0,0.0,98.0,11.0,11.0,10.0,6.0,6.0,0.0,0.01,0.0,0.04,0.13,0.2,0.03,0.1,0.0,0.02,35.0,6.9,6.4,14.0,3.7,8.7,0.0,0.9,0.0,
994,"Coffee, black, no sugar added",Non-alcoholic beverages/Coffee,2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.1,0.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,26.0,1.3,1.3,8.0,3.3,2.1,0.0,0.1,0.0,
983,"Coffee, instant, powder",Non-alcoholic beverages/Coffee,253,0.0001,0.0001,0.0001,0.0001,0.0,42.6,3.6,7.1,19.1,11.2,0.1,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.03,0.0,22.0,1.0,0.4,0.0,0.0,0.0,4380.0,58.0,50.0,170.0,390.0,350.0,4.4,20.0,0.5,
498,"Cola beverage, sweetened",Non-alcoholic beverages/Soft drinks,40,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,10.0,5.0,1.0,15.0,0.0001,2.0,0.0,
499,"Cola beverage, with sweetener",Non-alcoholic beverages/Soft drinks energy reduced,0,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,11.0,4.0,1.0,8.0,0.0,1.0,0.1,
10353,Cold cuts (average),Sausages and cold meats/Boiled sausage products,276,24.2,9.1,11.3,2.3,59.0,0.7,0.7,0.0,0.0,13.9,2.0,0.0,61.2,3.0,3.0,3.0,2.0,2.0,0.29,0.13,0.15,0.91,2.96,1.8,0.42,26.8,0.5,0.21,120.0,790.0,1110.0,8.1,12.0,160.0,0.8,0.9,1.5,
1573,"Coleslaw salad, prepared",Prepared dishes/Salads,120,10.3,1.8,2.9,5.1,19.0,4.1,4.0,0.1,2.1,1.6,0.2,0.0,81.9,133.0,70.0,6.0,759.0,759.0,0.04,0.06,0.13,0.1,0.28,21.0,0.28,39.3,0.1,6.23,200.0,73.0,120.0,59.0,11.0,45.0,0.3,5.1,0.2,
13388,"Common bean (all types), mature seed, cooked (without addition of fat and salt)","Cereal products, pulses and potatoes/Pulses",111,0.6,0.1,0.0,0.3,0.0,14.5,0.4,12.7,8.5,7.7,0.0,0.0,68.8,0.0,0.0,0.0,1.0,1.0,0.08,0.02,0.07,0.0,0.83,76.8,0.08,0.6,0.0,0.05,420.0,1.0,18.0,45.0,51.0,150.0,2.0,0.4,1.1,
13387,"Common bean (all types), mature seed, dried","Cereal products, pulses and potatoes/Pulses",305,1.5,0.3,0.1,0.7,0.0,40.7,1.2,35.6,22.6,20.9,0.0,0.0,10.4,0.0,0.0,0.0,2.0,2.0,0.34,0.08,0.25,0.0,3.4,410.0,0.39,2.7,0.0,0.15,1510.0,1.3,47.0,130.0,160.0,440.0,6.3,1.1,3.2,
526,"Condensed milk, sweetened",Milk and dairy products/Milk,339,10.0,6.0,2.4,0.5,36.0,54.3,54.3,0.0,0.0,8.0,0.3,0.0,25.6,96.0,92.0,88.0,49.0,49.0,0.09,0.43,0.07,0.58,0.22,7.0,0.8,2.5,0.2,0.2,360.0,120.0,250.0,280.0,24.0,250.0,0.2,18.0,0.9,
527,"Condensed milk, unsweetened",Milk and dairy products/Milk,131,7.6,4.6,1.8,0.4,20.0,9.3,9.3,0.0,0.0,6.4,0.2,0.0,74.8,54.0,51.0,48.0,34.0,34.0,0.07,0.37,0.06,0.4,0.2,6.0,0.64,2.1,0.1,0.17,320.0,98.0,210.0,240.0,27.0,190.0,0.1,6.7,0.8,3.0
1118,Cooked cured meat (average),Sausages and cold meats/Cooked sausage products,223,15.6,6.0,7.2,1.1,49.0,0.7,0.7,0.0,0.0,19.8,2.8,0.0,63.9,4.0,4.0,4.0,0.0,0.0,0.64,0.16,0.32,0.59,5.61,2.0,0.88,33.6,0.5,0.2,410.0,1130.0,1640.0,9.8,21.0,240.0,0.5,1.9,2.3,9.7
1116,Cooked sausages (average),Sausages and cold meats/Cooked sausage products,278,23.5,8.6,10.7,2.8,93.0,1.1,1.0,0.1,0.1,15.4,2.6,0.1,59.8,992.0,992.0,991.0,5.0,5.0,0.18,0.45,0.18,3.49,3.92,12.0,0.85,10.7,0.0,0.35,180.0,1030.0,1020.0,25.0,11.0,110.0,8.7,3.9,2.4,
1113,Cooked sausages not smoked (average),Sausages and cold meats/Boiled sausage products,251,21.6,8.1,10.2,2.2,58.0,0.8,0.8,0.0,0.0,13.4,2.0,0.0,64.2,7.0,6.0,6.0,7.0,7.0,0.22,0.13,0.15,0.8,2.97,2.0,0.46,21.4,0.4,0.16,140.0,810.0,1130.0,12.0,13.0,170.0,0.7,1.2,1.4,
